name,price,rating,review_count,address,city,state,zip_code
Antojitos Mexicanos La Ribera,$,3.5,67,4773 Tyler St,Riverside,CA,92503
De Via Bella's Pizza & Sports Bar,$,4.0,220,3812 Pierce St,Riverside,CA,92503
Thai Noodle House and BBQ,,3.5,10,11860 Magnolia Ave,Riverside,CA,92503
Joe Aguilar's Templo Del Sol,$,4.0,174,1365 University Ave,Riverside,CA,92507
Pizza King,$,4.0,62,9185 Jurupa Rd,Riverside,CA,92509
D'Elia's Grinders,$,3.5,565,2093 University Ave,Riverside,CA,92507
Mr.Taco,$,3.0,141,5701 Van Buren Blvd,Riverside,CA,92503
Sushiya Riverside,$$,3.0,627,1201 University Ave,Riverside,CA,92507
New York Pizza,$,3.0,262,3570 Van Buren Blvd,Riverside,CA,92503
Tony's Mexican Food,$,4.0,79,10328 Arlington Ave,Riverside,CA,92505
Pinnacle Peak Steakhouse- Colton,$$,3.0,290,2533 S La Cadena Dr,Colton,CA,92324
Soho Ramen,$$,2.5,180,3605 Market St,Riverside,CA,92501
Tony's Mexican Food,$,4.0,175,3870 Chicago Ave,Riverside,CA,92507
Green Taco,$,4.5,322,3812 Pierce St,Riverside,CA,92503
Dorry's Bar & Grill,$$,3.5,171,17136 Van Buren Blvd,Riverside,CA,92504
Tacos El Rancho,$,3.5,72,4950 La Sierra Ave,Riverside,CA,92505
Mi Lindo Apatzingan # 2,,5.0,2,10529 Hole Av,Riverside,CA,92505
Johnny's Burger,$,3.5,160,4825 La Sierra Ave,Riverside,CA,92505
Scratch Pizza,$,4.0,162,4950 La Sierra Ave,Riverside,CA,92505
Nikko's Burgers,$,4.0,84,9295 Magnolia Ave,Riverside,CA,92503
The Lucky Greek,$,3.5,166,3887 Merrill Ave,Riverside,CA,92506
Milly's Café,,5.0,1,5125 Jurupa Ave,Riverside,CA,92504
Wok In Kitchen,$,3.5,109,5050 Arlington Ave,Riverside,CA,92504
Daily Brew Coffee House,$,4.5,469,2955 Van Buren Blvd,Riverside,CA,92503
Boba Cafe,$,3.0,363,1223 University Ave,Riverside,CA,92507
Azteca Market,$,5.0,17,5125 Jurupa Ave,Riverside,CA,92504
PIE X CO,,5.0,3,,Redlands,CA,92373
Imperial Sushi & Seafood,$$,4.0,55,8022 Limonite Ave,Jurupa Valley,CA,92509
Costa Delmar,$,4.5,72,4561 La Sierra Ave,Riverside,CA,92505
Los Fredo's Mexican Food,$,3.5,45,9111 Magnolia Ave,Riverside,CA,92503
El Ojo De Agua,$,3.5,207,2115 University Ave,Riverside,CA,92507
Blaze Fast-Fire'd Pizza,$,3.5,80,10920 Magnolia Ave,Riverside,CA,92505
